Key,File,Type,english,tchinese
IvElementElectricMoeSpecial,entityclasses,Entity,Mutated Evolution Shock Moe,突變進化電擊型的Moe
IvElementToxicMoeSpecial,entityclasses,Entity,Mutated Evolution Toxic Moe,突變進化劇毒型的Moe
IvElementFrostMoeSpecial,entityclasses,Entity,Mutated Evolution Frozen Moe,突變進化冰凍型的Moe
IvElementSoulMoeSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Moe,突變進化蝕魂型的Moe
IvElementFireLabSpecial,entityclasses,Entity,Mutated Evolution Flame Lab Worker,突變進化火焰型的研究員
IvElementElectricLabSpecial,entityclasses,Entity,Mutated Evolution Shock Lab Worker,突變進化電擊型的研究員
IvElementToxicLabSpecial,entityclasses,Entity,Mutated Evolution Toxic Lab Worker,突變進化劇毒型的研究員
IvElementFrostLabSpecial,entityclasses,Entity,Mutated Evolution Frozen Lab Worker,突變進化冰凍型的研究員
IvElementSoulLabSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Lab Worker,突變進化蝕魂型的研究員
IvElementFireDarleneSpecial,entityclasses,Entity,Mutated Evolution Flame Darlene,突變進化火焰型的達琳
IvElementElectricDarleneSpecial,entityclasses,Entity,Mutated Evolution Shock Darlene,突變進化電擊型的達琳
IvElementToxicDarleneSpecial,entityclasses,Entity,Mutated Evolution Toxic Darlene,突變進化劇毒型的達琳
IvElementFrostDarleneSpecial,entityclasses,Entity,Mutated Evolution Frozen Darlene,突變進化冰凍型的達琳
IvElementSoulDarleneSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Darlene,突變進化蝕魂型的達琳
IvElementFireYoSpecial,entityclasses,Entity,Mutated Evolution Flame Yo,突變進化火焰型的Yo
IvElementElectricYoSpecial,entityclasses,Entity,Mutated Evolution Shock Yo,突變進化電擊型的Yo
IvElementToxicYoSpecial,entityclasses,Entity,Mutated Evolution Toxic Yo,突變進化劇毒型的Yo
IvElementFrostYoSpecial,entityclasses,Entity,Mutated Evolution Frozen Yo,突變進化冰凍型的Yo
IvElementSoulYoSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Yo,突變進化蝕魂型的Yo
IvElementFireUtilityWorkerSpecial,entityclasses,Entity,Mutated Evolution Flame Utility Worker,突變進化火焰型的作業員
IvElementElectricUtilityWorkerSpecial,entityclasses,Entity,Mutated Evolution Shock Utility Worker,突變進化電擊型的作業員
IvElementToxicUtilityWorkerSpecial,entityclasses,Entity,Mutated Evolution Toxic Utility Worker,突變進化劇毒型的作業員
IvElementFrostUtilityWorkerSpecial,entityclasses,Entity,Mutated Evolution Frozen Utility Worker,突變進化冰凍型的作業員
IvElementSoulUtilityWorkerSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Utility Worker,突變進化蝕魂型的作業員
IvElementFireMaleHazmatSpecial,entityclasses,Entity,Mutated Evolution Flame Hazmat,突變進化火焰型的危機物處理員
IvElementElectricMaleHazmatSpecial,entityclasses,Entity,Mutated Evolution Shock Hazmat,突變進化電擊型的危機物處理員
IvElementToxicMaleHazmatSpecial,entityclasses,Entity,Mutated Evolution Toxic Hazmat,突變進化劇毒型的危機物處理員
IvElementFrostMaleHazmatSpecial,entityclasses,Entity,Mutated Evolution Frozen Hazmat,突變進化冰凍型的危機物處理員
IvElementSoulMaleHazmatSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Hazmat,突變進化蝕魂型的危機物處理員
IvElementFireBikerSpecial,entityclasses,Entity,Mutated Evolution Flame Biker,突變進化火焰型的摩托車手
IvElementElectricBikerSpecial,entityclasses,Entity,Mutated Evolution Shock Biker,突變進化電擊型的摩托車手
IvElementToxicBikerSpecial,entityclasses,Entity,Mutated Evolution Toxic Biker,突變進化劇毒型的摩托車手
IvElementFrostBikerSpecial,entityclasses,Entity,Mutated Evolution Frozen Biker,突變進化冰凍型的摩托車手
IvElementSoulBikerSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Biker,突變進化蝕魂型的摩托車手
IvElementFireLumberjackSpecial,entityclasses,Entity,Mutated Evolution Flame Lumberjack,突變進化火焰型的伐木工
IvElementElectricLumberjackSpecial,entityclasses,Entity,Mutated Evolution Shock Lumberjack,突變進化電擊型的伐木工
IvElementToxicLumberjackSpecial,entityclasses,Entity,Mutated Evolution Toxic Lumberjack,突變進化劇毒型的伐木工
IvElementFrostLumberjackSpecial,entityclasses,Entity,Mutated Evolution Frozen Lumberjack,突變進化冰凍型的伐木工
IvElementSoulLumberjackSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Lumberjack,突變進化蝕魂型的伐木工
IvElementFireFemaleFatSpecial,entityclasses,Entity,Mutated Evolution Flame Big Momma,突變進化火焰型的大媽
IvElementElectricFemaleFatSpecial,entityclasses,Entity,Mutated Evolution Shock Big Momma,突變進化電擊型的大媽
IvElementToxicFemaleFatSpecial,entityclasses,Entity,Mutated Evolution Toxic Big Momma,突變進化劇毒型的大媽
IvElementFrostFemaleFatSpecial,entityclasses,Entity,Mutated Evolution Frozen Big Momma,突變進化冰凍型的大媽
IvElementSoulFemaleFatSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Big Momma,突變進化蝕魂型的大媽
IvElementFireFatHawaiianSpecial,entityclasses,Entity,Mutated Evolution Flame Tourist,突變進化火焰型的觀光客
IvElementElectricFatHawaiianSpecial,entityclasses,Entity,Mutated Evolution Shock Tourist,突變進化電擊型的觀光客
IvElementToxicFatHawaiianSpecial,entityclasses,Entity,Mutated Evolution Toxic Tourist,突變進化劇毒型的觀光客
IvElementFrostFatHawaiianSpecial,entityclasses,Entity,Mutated Evolution Frozen Tourist,突變進化冰凍型的觀光客
IvElementSoulFatHawaiianSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Tourist,突變進化蝕魂型的觀光客
IvElementFireSkateboarderSpecial,entityclasses,Entity,Mutated Evolution Flame Thug,突變進化火焰型的暴徒
IvElementElectricSkateboarderSpecial,entityclasses,Entity,Mutated Evolution Shock Thug,突變進化電擊型的暴徒
IvElementToxicSkateboarderSpecial,entityclasses,Entity,Mutated Evolution Toxic Thug,突變進化劇毒型的暴徒
IvElementFrostSkateboarderSpecial,entityclasses,Entity,Mutated Evolution Frozen Thug,突變進化冰凍型的暴徒
IvElementSoulSkateboarderSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Thug,突變進化蝕魂型的暴徒
IvElementFireWightSpecial,entityclasses,Entity,Mutated Evolution Flame Wight,突變進化火焰型的惡靈
IvElementElectricWightSpecial,entityclasses,Entity,Mutated Evolution Shock Wight,突變進化電擊型的惡靈
IvElementToxicWightSpecial,entityclasses,Entity,Mutated Evolution Toxic Wight,突變進化劇毒型的惡靈
IvElementFrostWightSpecial,entityclasses,Entity,Mutated Evolution Frozen Wight,突變進化冰凍型的惡靈
IvElementSoulWightSpecial,entityclasses,Entity,Mutated Evolution Soul Eater Wight,突變進化蝕魂型的惡靈
IvElementFireDemolitionRare,entityclasses,Entity,Rare Flame Demolition,稀有火焰型的破壞王
IvElementElectricDemolitionRare,entityclasses,Entity,Rare Shock Demolition,稀有電擊型的破壞王
IvElementToxicDemolitionRare,entityclasses,Entity,Rare Toxic Demolition,稀有劇毒型的破壞王
IvElementFrostDemolitionRare,entityclasses,Entity,Rare Frozen Demolition,稀有冰凍型的破壞王
IvElementSoulDemolitionRare,entityclasses,Entity,Rare Soul Eater Demolition,稀有蝕魂型的破壞王
IvElementFireBurntRare,entityclasses,Entity,Rare Flame Burnt victim,稀有火焰型的燒傷受難者
IvElementElectricBurntRare,entityclasses,Entity,Rare Shock Burnt victim,稀有電擊型的燒傷受難者
IvElementToxicBurntRare,entityclasses,Entity,Rare Toxic Burnt victim,稀有劇毒型的燒傷受難者
IvElementFrostBurntRare,entityclasses,Entity,Rare Frozen Burnt victim,稀有冰凍型的燒傷受難者
IvElementSoulBurntRare,entityclasses,Entity,Rare Soul Burnt victim,稀有蝕魂型的燒傷受難者
