Key,File,Type,english,tchinese,spanish
perkGunslingerShootingSpeedName,progression,Perk,Agent: Fire Speed,特工: 射擊速度,
perkGunslingerShootingSpeedDesc,progression,Perk,Increase fire rate,增加射擊速度,
perkGunslingerShootingSpeedRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Gunslinger"" skill.",限定「神槍手」技能所使用的武器。,
perkGunslingerShootingSpeedRank01Desc,progression,Perk,fire rate +20%,射速 +20%,
perkGunslingerShootingSpeedRank02Desc,progression,Perk,fire rate +40%,射速 +40%,
perkGunslingerShootingSpeedRank03Desc,progression,Perk,fire rate +60%,射速 +60%,
perkGunslingerShootingSpeedRank04Desc,progression,Perk,fire rate +80%,射速 +80%,
perkGunslingerShootingSpeedRank05Desc,progression,Perk,fire rate +100%,射速 +100%,
perkGunslingerShootingSpeedRank06Desc,progression,Perk,fire rate +120%,射速 +120%,
perkGunslingerShootingSpeedRank07Desc,progression,Perk,fire rate +140%,射速 +140%,
perkGunslingerShootingSpeedRank08Desc,progression,Perk,fire rate +160%,射速 +160%,
perkGunslingerShootingSpeedRank09Desc,progression,Perk,fire rate +180%,射速 +180%,
perkGunslingerShootingSpeedRank10Desc,progression,Perk,fire rate +200%,射速 +200%,
perkGunslingerReloadSpeedMultiplierName,progression,Perk,Agent: Reload Speed,特工: 裝填速度,
perkGunslingerReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkGunslingerReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Gunslinger"" skill.",限定「神槍手」技能所使用的武器。,
perkGunslingerReloadSpeedMultiplierRank01Desc,progression,Perk,reload +17%,裝填速度 +17%,
perkGunslingerReloadSpeedMultiplierRank02Desc,progression,Perk,reload +34%,裝填速度 +34%,
perkGunslingerReloadSpeedMultiplierRank03Desc,progression,Perk,reload +51%,裝填速度 +51%,
perkGunslingerReloadSpeedMultiplierRank04Desc,progression,Perk,reload +68%,裝填速度 +68%,
perkGunslingerReloadSpeedMultiplierRank05Desc,progression,Perk,reload +85%,裝填速度 +85%,
perkGunslingerReloadSpeedMultiplierRank06Desc,progression,Perk,reload +102%,裝填速度 +102%,
perkGunslingerReloadSpeedMultiplierRank07Desc,progression,Perk,reload +119%,裝填速度 +119%,
perkGunslingerReloadSpeedMultiplierRank08Desc,progression,Perk,reload +136%,裝填速度 +136%,
perkGunslingerReloadSpeedMultiplierRank09Desc,progression,Perk,reload +153%,裝填速度 +153%,
perkGunslingerReloadSpeedMultiplierRank10D1esc,progression,Perk,reload +170%,裝填速度 +170%,
perkTurretsEntityDamageName,progression,Perk,Evolution Technology: Physical Damage,進化科技: 實體傷害,
perkTurretsEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkTurretsEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Robotics Inventor"" skill.",限定「機器人發明家」技能所使用的武器。,
perkTurretsEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkTurretsEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkTurretsEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkTurretsEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkTurretsEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkTurretsEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkTurretsEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkTurretsEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkTurretsEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkTurretsEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkTurretsMagazineSizeName,progression,Perk,Evolution Technology: Magazine Capacity,進化科技: 彈匣容量,
perkTurretsMagazineSizeDesc,progression,Perk,Increase magazine capacity,增加彈匣容量,
perkTurretsMagazineSizeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Robotics Inventor"" skill.",限定「機器人發明家」技能所使用的武器。,
perkTurretsMagazineSizeRank01Desc,progression,Perk,magazine capacity +20%,彈匣容量 +20%,
perkTurretsMagazineSizeRank02Desc,progression,Perk,magazine capacity +40%,彈匣容量 +40%,
perkTurretsMagazineSizeRank03Desc,progression,Perk,magazine capacity +60%,彈匣容量 +60%,
perkTurretsMagazineSizeRank04Desc,progression,Perk,magazine capacity +80%,彈匣容量 +80%,
perkTurretsMagazineSizeRank05Desc,progression,Perk,magazine capacity +100%,彈匣容量 +100%,
perkTurretsMagazineSizeRank06Desc,progression,Perk,magazine capacity +120%,彈匣容量 +120%,
perkTurretsMagazineSizeRank07Desc,progression,Perk,magazine capacity +140%,彈匣容量 +140%,
perkTurretsMagazineSizeRank08Desc,progression,Perk,magazine capacity +160%,彈匣容量 +160%,
perkTurretsMagazineSizeRank09Desc,progression,Perk,magazine capacity +180%,彈匣容量 +180%,
perkTurretsMagazineSizeRank10Desc,progression,Perk,magazine capacity +200%,彈匣容量 +200%,
perkTurretsShootingSpeedName,progression,Perk,Evolution Technology: Fire Speed,進化科技: 射擊速度,
perkTurretsShootingSpeedDesc,progression,Perk,Increase fire rate,增加射擊速度,
perkTurretsShootingSpeedRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Robotics Inventor"" skill.",限定「機器人發明家」技能所使用的武器。,
perkTurretsShootingSpeedRank01Desc,progression,Perk,fire rate +20%,射速 +20%,
perkTurretsShootingSpeedRank02Desc,progression,Perk,fire rate +40%,射速 +40%,
perkTurretsShootingSpeedRank03Desc,progression,Perk,fire rate +60%,射速 +60%,
perkTurretsShootingSpeedRank04Desc,progression,Perk,fire rate +80%,射速 +80%,
perkTurretsShootingSpeedRank05Desc,progression,Perk,fire rate +100%,射速 +100%,
perkTurretsShootingSpeedRank06Desc,progression,Perk,fire rate +120%,射速 +120%,
perkTurretsShootingSpeedRank07Desc,progression,Perk,fire rate +140%,射速 +140%,
perkTurretsShootingSpeedRank08Desc,progression,Perk,fire rate +160%,射速 +160%,
perkTurretsShootingSpeedRank09Desc,progression,Perk,fire rate +180%,射速 +180%,
perkTurretsShootingSpeedRank10Desc,progression,Perk,fire rate +200%,射速 +200%,
perkTurretsReloadSpeedMultiplierName,progression,Perk,Evolution Technology: Reload Speed,進化科技: 裝填速度,
perkTurretsReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkTurretsReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Robotics Inventor"" skill.",限定「機器人發明家」技能所使用的武器。,
perkTurretsReloadSpeedMultiplierRank01Desc,progression,Perk,reload +17%,裝填速度 +17%,
perkTurretsReloadSpeedMultiplierRank02Desc,progression,Perk,reload +34%,裝填速度 +34%,
perkTurretsReloadSpeedMultiplierRank03Desc,progression,Perk,reload +51%,裝填速度 +51%,
perkTurretsReloadSpeedMultiplierRank04Desc,progression,Perk,reload +68%,裝填速度 +68%,
perkTurretsReloadSpeedMultiplierRank05Desc,progression,Perk,reload +85%,裝填速度 +85%,
perkTurretsReloadSpeedMultiplierRank06Desc,progression,Perk,reload +102%,裝填速度 +102%,
perkTurretsReloadSpeedMultiplierRank07Desc,progression,Perk,reload +119%,裝填速度 +119%,
perkTurretsReloadSpeedMultiplierRank08Desc,progression,Perk,reload +136%,裝填速度 +136%,
perkTurretsReloadSpeedMultiplierRank09Desc,progression,Perk,reload +153%,裝填速度 +153%,
perkTurretsReloadSpeedMultiplierRank10Desc,progression,Perk,reload +170%,裝填速度 +170%,
perkDemolitionsExpertEntityDamageName,progression,Perk,Demolition Group: Physical Damage,爆破組: 實體傷害,
perkDemolitionsExpertEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkDemolitionsExpertEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons and projectiles used by the ""Demolitions Expert"" skill.",限定「爆破專家」技能所使用的武器與投擲物。,
perkDemolitionsExpertEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkDemolitionsExpertEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkDemolitionsExpertEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkDemolitionsExpertEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkDemolitionsExpertEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkDemolitionsExpertEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkDemolitionsExpertEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkDemolitionsExpertEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkDemolitionsExpertEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkDemolitionsExpertEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkDemolitionsExpertBlockDamageName,progression,Perk,Demolition Group: Block Damage,爆破組: 方塊傷害,
perkDemolitionsExpertBlockDamageDesc,progression,Perk,Increase block damage,增加方塊傷害,
perkDemolitionsExpertBlockDamageRankLongDesc,progression,Perk,"Limited to the weapons and projectiles used by the ""Demolitions Expert"" skill.",限定「爆破專家」技能所使用的武器與投擲物。,
perkDemolitionsExpertBlockDamageRank01Desc,progression,Perk,block damage +20%,方塊傷害 +20%,
perkDemolitionsExpertBlockDamageRank02Desc,progression,Perk,block damage +40%,方塊傷害 +40%,
perkDemolitionsExpertBlockDamageRank03Desc,progression,Perk,block damage +60%,方塊傷害 +60%,
perkDemolitionsExpertBlockDamageRank04Desc,progression,Perk,block damage +80%,方塊傷害 +80%,
perkDemolitionsExpertBlockDamageRank05Desc,progression,Perk,block damage +100%,方塊傷害 +100%,
perkDemolitionsExpertBlockDamageRank06Desc,progression,Perk,block damage +120%,方塊傷害 +120%,
perkDemolitionsExpertBlockDamageRank07Desc,progression,Perk,block damage +140%,方塊傷害 +140%,
perkDemolitionsExpertBlockDamageRank08Desc,progression,Perk,block damage +160%,方塊傷害 +160%,
perkDemolitionsExpertBlockDamageRank09Desc,progression,Perk,block damage +180%,方塊傷害 +180%,
perkDemolitionsExpertBlockDamageRank10Desc,progression,Perk,block damage +200%,方塊傷害 +200%,
perkDemolitionsExpertDismemberChanceName,progression,Perk,Demolition Group: Dismemberment Rate,爆破組: 肢解率,
perkDemolitionsExpertDismemberChanceDesc,progression,Perk,increased dismemberment rate,增加肢解率,
perkDemolitionsExpertDismemberChanceRankLongDesc,progression,Perk,"Limited to the weapons and projectiles used by the ""Demolitions Expert"" skill.",限定「爆破專家」技能所使用的武器與投擲物。,
perkDemolitionsExpertDismemberChanceRank01Desc,progression,Perk,dismemberment +10%,肢解率 +10%,
perkDemolitionsExpertDismemberChanceRank02Desc,progression,Perk,dismemberment +20%,肢解率 +20%,
perkDemolitionsExpertDismemberChanceRank03Desc,progression,Perk,dismemberment +30%,肢解率 +30%,
perkDemolitionsExpertDismemberChanceRank04Desc,progression,Perk,dismemberment +40%,肢解率 +40%,
perkDemolitionsExpertDismemberChanceRank05Desc,progression,Perk,dismemberment +50%,肢解率 +50%,
perkPummelPeteEntityDamageName,progression,Perk,Home Run: Physical Damage,全壘打: 實體傷害,
perkPummelPeteEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkPummelPeteEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Pummel Pete"" skill.",限定「打擊者」技能所使用的武器。,
perkPummelPeteEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkPummelPeteEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkPummelPeteEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkPummelPeteEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkPummelPeteEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkPummelPeteEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkPummelPeteEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkPummelPeteEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkPummelPeteEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkPummelPeteEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkPummelPeteAttacksPerMinuteName,progression,Perk,Home Run: Attack Speed,全壘打: 攻擊速度,
perkPummelPeteAttacksPerMinuteDesc,progression,Perk,Increase attack speed,增加攻擊速度,
perkPummelPeteAttacksPerMinuteRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Pummel Pete"" skill.",限定「打擊者」技能所使用的武器。,
perkPummelPeteAttacksPerMinuteRank01Desc,progression,Perk,attack speed +10%,攻擊速度 +10%,
perkPummelPeteAttacksPerMinuteRank02Desc,progression,Perk,attack speed +20%,攻擊速度 +20%,
perkPummelPeteAttacksPerMinuteRank03Desc,progression,Perk,attack speed +30%,攻擊速度 +30%,
perkPummelPeteAttacksPerMinuteRank04Desc,progression,Perk,attack speed +40%,攻擊速度 +40%,
perkPummelPeteAttacksPerMinuteRank05Desc,progression,Perk,attack speed +50%,攻擊速度 +50%,
perkPummelPeteAttacksPerMinuteRank06Desc,progression,Perk,attack speed +60%,攻擊速度 +60%,
perkPummelPeteAttacksPerMinuteRank07Desc,progression,Perk,attack speed +70%,攻擊速度 +70%,
perkPummelPeteAttacksPerMinuteRank08Desc,progression,Perk,attack speed +80%,攻擊速度 +80%,
perkPummelPeteAttacksPerMinuteRank09Desc,progression,Perk,attack speed +90%,攻擊速度 +90%,
perkPummelPeteAttacksPerMinuteRank10Desc,progression,Perk,attack speed +100%,攻擊速度 +100%,
perkSkullCrusherEntityDamageName,progression,Perk,Hercules: Physical Damage,力士: 實體傷害,
perkSkullCrusherEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkSkullCrusherEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Skull Crusher"" skill.",限定「頭顱破碎機」技能所使用的武器。,
perkSkullCrusherEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkSkullCrusherEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkSkullCrusherEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkSkullCrusherEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkSkullCrusherEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkSkullCrusherEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkSkullCrusherEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkSkullCrusherEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkSkullCrusherEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkSkullCrusherEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkSkullCrusherAttacksPerMinuteName,progression,Perk,Hercules: Attack Speed,力士: 攻擊速度,
perkSkullCrusherAttacksPerMinuteDesc,progression,Perk,Increase attack speed,增加攻擊速度,
perkSkullCrusherAttacksPerMinuteRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Skull Crusher"" skill.",限定「頭顱破碎機」技能所使用的武器。,
perkSkullCrusherAttacksPerMinuteRank01Desc,progression,Perk,attack speed +10%,攻擊速度 +10%,
perkSkullCrusherAttacksPerMinuteRank02Desc,progression,Perk,attack speed +20%,攻擊速度 +20%,
perkSkullCrusherAttacksPerMinuteRank03Desc,progression,Perk,attack speed +30%,攻擊速度 +30%,
perkSkullCrusherAttacksPerMinuteRank04Desc,progression,Perk,attack speed +40%,攻擊速度 +40%,
perkSkullCrusherAttacksPerMinuteRank05Desc,progression,Perk,attack speed +50%,攻擊速度 +50%,
perkSkullCrusherAttacksPerMinuteRank06Desc,progression,Perk,attack speed +60%,攻擊速度 +60%,
perkSkullCrusherAttacksPerMinuteRank07Desc,progression,Perk,attack speed +70%,攻擊速度 +70%,
perkSkullCrusherAttacksPerMinuteRank08Desc,progression,Perk,attack speed +80%,攻擊速度 +80%,
perkSkullCrusherAttacksPerMinuteRank09Desc,progression,Perk,attack speed +90%,攻擊速度 +90%,
perkSkullCrusherAttacksPerMinuteRank10Desc,progression,Perk,attack speed +100%,攻擊速度 +100%,
perkBrawlerEntityDamageName,progression,Perk,Champion: Physical Damage,拳王: 實體傷害,
perkBrawlerEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkBrawlerEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""The Brawler"" skill.",限定「鬥毆者」技能所使用的武器。,
perkBrawlerEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkBrawlerEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkBrawlerEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkBrawlerEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkBrawlerEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkBrawlerEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkBrawlerEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkBrawlerEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkBrawlerEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkBrawlerEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkBrawlerAttacksPerMinuteName,progression,Perk,Champion: Attack Speed,拳王: 攻擊速度,
perkBrawlerAttacksPerMinuteDesc,progression,Perk,Increase attack speed,增加攻擊速度,
perkBrawlerAttacksPerMinuteRankLongDesc,progression,Perk,"Limited to the weapons used by the ""The Brawler"" skill.",限定「鬥毆者」技能所使用的武器。,
perkBrawlerAttacksPerMinuteRank01Desc,progression,Perk,attack speed +10%,攻擊速度 +10%,
perkBrawlerAttacksPerMinuteRank02Desc,progression,Perk,attack speed +20%,攻擊速度 +20%,
perkBrawlerAttacksPerMinuteRank03Desc,progression,Perk,attack speed +30%,攻擊速度 +30%,
perkBrawlerAttacksPerMinuteRank04Desc,progression,Perk,attack speed +40%,攻擊速度 +40%,
perkBrawlerAttacksPerMinuteRank05Desc,progression,Perk,attack speed +50%,攻擊速度 +50%,
perkBrawlerAttacksPerMinuteRank06Desc,progression,Perk,attack speed +60%,攻擊速度 +60%,
perkBrawlerAttacksPerMinuteRank07Desc,progression,Perk,attack speed +70%,攻擊速度 +70%,
perkBrawlerAttacksPerMinuteRank08Desc,progression,Perk,attack speed +80%,攻擊速度 +80%,
perkBrawlerAttacksPerMinuteRank09Desc,progression,Perk,attack speed +90%,攻擊速度 +90%,
perkBrawlerAttacksPerMinuteRank10Desc,progression,Perk,attack speed +100%,攻擊速度 +100%,
perkDeepCutsEntityDamageName,progression,Perk,Assassin: Physical Damage,刺客: 實體傷害,
perkDeepCutsEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkDeepCutsEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Deep Cuts"" skill.",限定「深切口」技能所使用的武器。,
perkDeepCutsEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkDeepCutsEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkDeepCutsEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkDeepCutsEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkDeepCutsEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkDeepCutsEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkDeepCutsEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkDeepCutsEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkDeepCutsEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkDeepCutsEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkDeepCutsAttacksPerMinuteName,progression,Perk,Assassin: Attack Speed,刺客: 攻擊速度,
perkDeepCutsAttacksPerMinuteDesc,progression,Perk,Increase attack speed,增加攻擊速度,
perkDeepCutsAttacksPerMinuteRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Deep Cuts"" skill.",限定「深切口」技能所使用的武器。,
perkDeepCutsAttacksPerMinuteRank01Desc,progression,Perk,attack speed +10%,攻擊速度 +10%,
perkDeepCutsAttacksPerMinuteRank02Desc,progression,Perk,attack speed +20%,攻擊速度 +20%,
perkDeepCutsAttacksPerMinuteRank03Desc,progression,Perk,attack speed +30%,攻擊速度 +30%,
perkDeepCutsAttacksPerMinuteRank04Desc,progression,Perk,attack speed +40%,攻擊速度 +40%,
perkDeepCutsAttacksPerMinuteRank05Desc,progression,Perk,attack speed +50%,攻擊速度 +50%,
perkDeepCutsAttacksPerMinuteRank06Desc,progression,Perk,attack speed +60%,攻擊速度 +60%,
perkDeepCutsAttacksPerMinuteRank07Desc,progression,Perk,attack speed +70%,攻擊速度 +70%,
perkDeepCutsAttacksPerMinuteRank08Desc,progression,Perk,attack speed +80%,攻擊速度 +80%,
perkDeepCutsAttacksPerMinuteRank09Desc,progression,Perk,attack speed +90%,攻擊速度 +90%,
perkDeepCutsAttacksPerMinuteRank10Desc,progression,Perk,attack speed +100%,攻擊速度 +100%,
perkSalvageOperationsBlockDamageName,progression,Perk,Resource Recycling: Block Damage,資源回收: 方塊傷害,
perkSalvageOperationsBlockDamageDesc,progression,Perk,Increase block damage,增加方塊傷害,
perkSalvageOperationsBlockDamageRankLongDesc,progression,Perk,"Limited to the tools used by the ""Salvage Operations"" skill.",限定「廢物利用工作」技能所使用的工具。,
perkSalvageOperationsBlockDamageRank01Desc,progression,Perk,block damage +20%,方塊傷害 +20%,
perkSalvageOperationsBlockDamageRank02Desc,progression,Perk,block damage +40%,方塊傷害 +40%,
perkSalvageOperationsBlockDamageRank03Desc,progression,Perk,block damage +60%,方塊傷害 +60%,
perkSalvageOperationsBlockDamageRank04Desc,progression,Perk,block damage +80%,方塊傷害 +80%,
perkSalvageOperationsBlockDamageRank05Desc,progression,Perk,block damage +100%,方塊傷害 +100%,
perkSalvageOperationsBlockDamageRank06Desc,progression,Perk,block damage +120%,方塊傷害 +120%,
perkSalvageOperationsBlockDamageRank07Desc,progression,Perk,block damage +140%,方塊傷害 +140%,
perkSalvageOperationsBlockDamageRank08Desc,progression,Perk,block damage +160%,方塊傷害 +160%,
perkSalvageOperationsBlockDamageRank09Desc,progression,Perk,block damage +180%,方塊傷害 +180%,
perkSalvageOperationsBlockDamageRank10Desc,progression,Perk,block damage +200%,方塊傷害 +200%,
perkSalvageOperationsHarvestCountName,progression,Perk,Resource Recycling: Harvested Amount,資源回收: 收獲量,
perkSalvageOperationsHarvestCountDesc,progression,Perk,Increases the harvest of disassembled appliances.,增加拆卸電器的收獲量,
perkSalvageOperationsHarvestCountRankLongDesc,progression,Perk,"Limited to the tools used by the ""Salvage Operations"" skill.",限定「廢物利用工作」技能所使用的工具。,
perkSalvageOperationsHarvestCountRank01Desc,progression,Perk,harvest +15%,收獲量 +15%,
perkSalvageOperationsHarvestCountRank02Desc,progression,Perk,harvest +30%,收獲量 +30%,
perkSalvageOperationsHarvestCountRank03Desc,progression,Perk,harvest +45%,收獲量 +45%,
perkSalvageOperationsHarvestCountRank04Desc,progression,Perk,harvest +60%,收獲量 +60%,
perkSalvageOperationsHarvestCountRank05Desc,progression,Perk,harvest +75%,收獲量 +75%,
perkSalvageOperationsHarvestCountRank06Desc,progression,Perk,harvest +90%,收獲量 +90%,
perkSalvageOperationsHarvestCountRank07Desc,progression,Perk,harvest +105%,收獲量 +105%,
perkSalvageOperationsHarvestCountRank08Desc,progression,Perk,harvest +120%,收獲量 +120%,
perkSalvageOperationsHarvestCountRank09Desc,progression,Perk,harvest +135%,收獲量 +135%,
perkSalvageOperationsHarvestCountRank10Desc,progression,Perk,harvest +150%,收獲量 +150%,
perkSalvageOperationsPlayerExpGainName,progression,Perk,Resource Recycling: Experience Points,資源回收: 經驗值,
perkSalvageOperationsPlayerExpGainDesc,progression,Perk,Increases the amount of experience points for disassembling appliances.,增加拆卸電器的經驗值量,
perkSalvageOperationsPlayerExpGainRankLongDesc,progression,Perk,"Limited to the tools used by the ""Salvage Operations"" skill.",限定「廢物利用工作」技能所使用的工具。,
perkSalvageOperationsPlayerExpGainRank01Desc,progression,Perk,exp +16%,經驗值 +16%,
perkSalvageOperationsPlayerExpGainRank02Desc,progression,Perk,exp +32%,經驗值 +32%,
perkSalvageOperationsPlayerExpGainRank03Desc,progression,Perk,exp +48%,經驗值 +48%,
perkSalvageOperationsPlayerExpGainRank04Desc,progression,Perk,exp +64%,經驗值 +64%,
perkSalvageOperationsPlayerExpGainRank05Desc,progression,Perk,exp +80%,經驗值 +80%,
perkSalvageOperationsPlayerExpGainRank06Desc,progression,Perk,exp +96%,經驗值 +96%,
perkSalvageOperationsPlayerExpGainRank07Desc,progression,Perk,exp +112%,經驗值 +112%,
perkSalvageOperationsPlayerExpGainRank08Desc,progression,Perk,exp +128%,經驗值 +128%,
perkSalvageOperationsPlayerExpGainRank09Desc,progression,Perk,exp +144%,經驗值 +144%,
perkSalvageOperationsPlayerExpGainRank10Desc,progression,Perk,exp +160%,經驗值 +160%,
perkHardworkingMinersBlockDamageName,progression,Perk,Hardworking Miner: Block Damage,勤勞的礦工: 方塊傷害,
perkHardworkingMinersBlockDamageDesc,progression,Perk,Increase block damage,增加方塊傷害,
perkHardworkingMinersBlockDamageRankLongDesc,progression,Perk,"Limited to the tools used by the ""Miner 69'er"" skill.",限定「69 礦工」技能所使用的工具。,
perkHardworkingMinersBlockDamageRank01Desc,progression,Perk,block damage +20%,方塊傷害 +20%,
perkHardworkingMinersBlockDamageRank02Desc,progression,Perk,block damage +40%,方塊傷害 +40%,
perkHardworkingMinersBlockDamageRank03Desc,progression,Perk,block damage +60%,方塊傷害 +60%,
perkHardworkingMinersBlockDamageRank04Desc,progression,Perk,block damage +80%,方塊傷害 +80%,
perkHardworkingMinersBlockDamageRank05Desc,progression,Perk,block damage +100%,方塊傷害 +100%,
perkHardworkingMinersBlockDamageRank06Desc,progression,Perk,block damage +120%,方塊傷害 +120%,
perkHardworkingMinersBlockDamageRank07Desc,progression,Perk,block damage +140%,方塊傷害 +140%,
perkHardworkingMinersBlockDamageRank08Desc,progression,Perk,block damage +160%,方塊傷害 +160%,
perkHardworkingMinersBlockDamageRank09Desc,progression,Perk,block damage +180%,方塊傷害 +180%,
perkHardworkingMinersBlockDamageRank10Desc,progression,Perk,block damage +200%,方塊傷害 +200%,
perkHardworkingMinersHarvestCountName,progression,Perk,Hardworking Miner: Harvested Amount,勤勞的礦工: 收獲量,
perkHardworkingMinersHarvestCountDesc,progression,Perk,Increases the amount harvested with tools.,增加工具採收的收獲量,
perkHardworkingMinersHarvestCountRankLongDesc,progression,Perk,"Limited to the tools used by the ""Mother Lode"" skill.",限定「母礦脈」技能所使用的工具。,
perkHardworkingMinersHarvestCountRank01Desc,progression,Perk,harvest +15%,收獲量 +15%,
perkHardworkingMinersHarvestCountRank02Desc,progression,Perk,harvest +30%,收獲量 +30%,
